year,state,geography_standardized,party,total_voters,percent
2016,colorado,Eagle,Democratic,9147,30.368525896414344
2016,colorado,Eagle,Other/Unaffiliated,13078,43.41965471447543
2016,colorado,Eagle,Republican,7895,26.211819389110225
2016,colorado,El Paso,Democratic,84110,21.863164817226437
2016,colorado,El Paso,Other/Unaffiliated,138473,35.99403188367371
2016,colorado,El Paso,Republican,162128,42.142803299099846
2016,colorado,Elbert,Democratic,2289,12.749958224252214
2016,colorado,Elbert,Other/Unaffiliated,5527,30.785941068345124
2016,colorado,Elbert,Republican,10137,56.464100707402665
2016,colorado,Fremont,Democratic,5197,19.535390745404655
2016,colorado,Fremont,Other/Unaffiliated,9423,35.42081720106755
2016,colorado,Fremont,Republican,11983,45.043792053527795
2016,colorado,Garfield,Democratic,8167,26.02281417282692
2016,colorado,Garfield,Other/Unaffiliated,12876,41.02727504460872
2016,colorado,Garfield,Republican,10341,32.94991078256436
2016,colorado,Gilpin,Democratic,1257,29.87167300380228
2016,colorado,Gilpin,Other/Unaffiliated,1796,42.68060836501901
2016,colorado,Gilpin,Republican,1155,27.44771863117871
2016,colorado,Grand,Democratic,2326,22.613260742757145
2016,colorado,Grand,Other/Unaffiliated,3680,35.776783978222824
2016,colorado,Grand,Republican,4280,41.60995527902003
2016,colorado,Gunnison,Democratic,3664,32.14035087719298
2016,colorado,Gunnison,Other/Unaffiliated,4841,42.46491228070175
2016,colorado,Gunnison,Republican,2895,25.394736842105264
2016,colorado,Hinsdale,Democratic,110,16.272189349112427
2016,colorado,Hinsdale,Other/Unaffiliated,156,23.076923076923077
2016,colorado,Hinsdale,Republican,410,60.650887573964496
2016,colorado,Huerfano,Democratic,2046,45.65945101539835
2016,colorado,Huerfano,Other/Unaffiliated,1201,26.802053113144385
2016,colorado,Huerfano,Republican,1234,27.538495871457265
2016,colorado,Jackson,Democratic,118,11.87122736418511
2016,colorado,Jackson,Other/Unaffiliated,190,19.114688128772634
2016,colorado,Jackson,Republican,686,69.01408450704226
2016,colorado,Jefferson,Democratic,117337,30.78087413201959
2016,colorado,Jefferson,Other/Unaffiliated,146181,38.347485971967544
2016,colorado,Jefferson,Republican,117683,30.871639896012866
